195354;25
195366;25
195362;25
195360;25
195368;25
195378;25
195359;25
195369;25
195324;25
195367;25
195336;25
195379;25
195375;25
195376;25
195394;25
195386;25
195383;25
195384;25
195389;25
195357;25
195343;25
195391;25
195381;25
195392;25
195393;25
195512;50
195385;50
195990;50
195991;50
196014;50
196013;50
196017;50
197309;50
196016;50
196003;50
195396;50
197323;50
197324;50
196000;50
197315;50
197314;50
197325;50
197326;50
196011;50
196010;50
197328;50
197329;50
511557;50
511573;50
511575;75
511574;75
511578;75
511582;75
511562;75
511605;75
511596;75
511555;75
511606;75
511591;75
511529;75
511532;75
511610;75
511611;75
511590;75
511560;75
511593;75
511604;75
511592;75
511577;75
511559;75
522123;99
522157;99
522124;99
522176;99
522116;99
522174;99
522159;99
522181;99
522170;99
522158;99
522197;99
522086;99
522202;99
522100;99
522199;99
522097;99
522217;99
522171;99
522169;99
522203;99
522162;99
522198;99
522080;99
